# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1776216508.5756617,0,0,0,0,0,0.7852349281311035,2.3728346824645996
1,1776216508.5829747,3200,0,0,0.8092105388641357,2.332692861557007,0.7852349281311035,2.3728346824645996
2,1776216508.5831904,6400,-0.7986577153205872,2.41076922416687,0.8092105388641357,2.332692861557007,0.7852349281311035,2.3728346824645996
3,1776216518.9214506,9600,-0.798719048500061,1.8986138105392456,0.8092105388641357,2.332692861557007,0.7852349281311035,2.3728346824645996
4,1776216519.169467,12800,-0.798719048500061,1.8986138105392456,0.8092105388641357,2.332692861557007,0.7938150763511658,1.8614591360092163
5,1776216519.759992,16000,-0.798719048500061,1.8986138105392456,0.7941401600837708,1.7799499034881592,0.7938150763511658,1.8614591360092163
6,1776216530.4122415,19200,-0.8277174830436707,2.031780242919922,0.7941401600837708,1.7799499034881592,0.7938150763511658,1.8614591360092163
7,1776216530.8951278,22400,-0.8277174830436707,2.031780242919922,0.7941401600837708,1.7799499034881592,0.8269628882408142,2.0140140056610107
8,1776216531.583785,25600,-0.8277174830436707,2.031780242919922,0.8352875709533691,1.9415502548217773,0.8269628882408142,2.0140140056610107
9,1776216541.814619,28800,-0.8834143877029419,1.6835227012634277,0.8352875709533691,1.9415502548217773,0.8269628882408142,2.0140140056610107
10,1776216542.3607507,32000,-0.8834143877029419,1.6835227012634277,0.8352875709533691,1.9415502548217773,0.8854506015777588,1.6682218313217163
11,1776216543.0775425,35200,-0.8834143877029419,1.6835227012634277,0.8938785791397095,1.553856372833252,0.8854506015777588,1.6682218313217163
12,1776216552.7593255,38400,-0.9571987986564636,1.1834652423858643,0.8938785791397095,1.553856372833252,0.8854506015777588,1.6682218313217163
13,1776216553.3041742,41600,-0.9571987986564636,1.1834652423858643,0.8938785791397095,1.553856372833252,0.9572084546089172,1.2680888175964355
14,1776216554.3844743,44800,-0.9571987986564636,1.1834652423858643,0.9614664912223816,0.9540310502052307,0.9572084546089172,1.2680888175964355
15,1776216564.0285742,48000,-1.0111159086227417,0.79411381483078,0.9614664912223816,0.9540310502052307,0.9572084546089172,1.2680888175964355
16,1776216564.763492,51200,-1.0111159086227417,0.79411381483078,0.9614664912223816,0.9540310502052307,1.0140479803085327,0.5608092546463013
17,1776216565.972265,54400,-1.0111159086227417,0.79411381483078,1.0174006223678589,0.9818344116210938,1.0140479803085327,0.5608092546463013
18,1776216575.0097725,57600,-1.0306919813156128,1.0215034484863281,1.0174006223678589,0.9818344116210938,1.0140479803085327,0.5608092546463013
19,1776216575.6431408,60800,-1.0306919813156128,1.0215034484863281,1.0174006223678589,0.9818344116210938,1.0299813747406006,1.028334617614746
